date,symbol,direction,strength,auction_interval_min,realised_end,realised_sessions
2021-09-08,3701,long,0.18,5.0,2021-09-23,10
2021-09-15,3232,long,0.581,5.0,2021-10-04,12
2021-09-17,1727,long,0.7712,5.0,2021-10-04,10
2021-09-17,4803,long,-0.0149,60.0,2021-10-04,10
2021-09-22,3085,long,0.2647,45.0,2021-10-14,16
2021-09-24,3141,long,0.1448,5.0,2021-10-07,10
2021-09-24,9105,long,,,2021-10-07,10
2021-09-29,4903,long,0.5506,10.0,2021-10-13,10
2021-09-29,5321,long,1.3987,5.0,2021-10-20,15
2021-10-01,6259,long,0.7289,5.0,2021-10-15,10
2021-10-04,4141,long,0.6654,5.0,2021-10-20,12
2021-10-07,4944,long,-0.3284,10.0,2021-10-21,10
2021-10-08,4192,long,0.4583,5.0,2021-10-22,10
2021-10-18,1721,long,0.7403,5.0,2021-11-03,13
2021-10-19,2243,long,0.4503,5.0,2021-11-01,10
2021-10-20,4743,long,0.3025,5.0,2021-11-02,10
2021-10-21,8121,long,0.0443,20.0,2021-11-03,10
2021-10-22,9105,long,,,2021-12-03,30
2021-10-26,2498,long,0.4286,5.0,2021-11-11,13
2021-10-26,3675,long,0.3171,5.0,2021-11-10,12
2021-10-26,3685,long,0.4075,5.0,2021-11-08,10
2021-10-28,5321,long,0.137,20.0,2021-11-10,10
2021-10-28,8476,long,0.2277,5.0,2021-11-22,18
2021-10-29,4968,long,0.3035,5.0,2021-11-11,10
2021-11-01,4192,long,-0.4492,20.0,2021-11-22,16
2021-11-01,6172,long,-0.4547,5.0,2021-11-12,10
2021-11-02,5227,long,0.6626,5.0,2021-11-15,10
2021-11-03,3491,long,0.7671,5.0,2021-11-16,10
2021-11-04,6441,long,0.6396,5.0,2021-11-17,10
2021-11-05,1611,long,0.4527,5.0,2021-11-18,10
2021-11-05,5351,long,0.8703,5.0,2021-11-22,12
2021-11-11,8121,long,-0.0456,20.0,2021-12-27,31
2021-11-12,1721,long,0.7087,20.0,2021-11-29,12
2021-11-16,3508,long,1.902,5.0,2021-12-01,12
2021-11-16,5344,long,1.2794,5.0,2021-11-29,10
2021-11-16,6118,long,1.0249,5.0,2021-11-29,10
2021-11-17,3228,long,0.3514,5.0,2021-11-30,10
2021-11-17,3419,long,0.6711,5.0,2021-11-30,10
2021-11-18,5468,long,0.4808,5.0,2021-12-01,10
2021-11-18,6523,long,0.4802,5.0,2021-12-06,13
2021-11-19,8427,long,0.5729,5.0,2021-12-02,10
2021-11-22,1236,long,0.6479,5.0,2021-12-03,10
2021-11-22,4803,long,-0.5085,45.0,2021-12-03,10
2021-11-22,6446,long,0.8158,10.0,2021-12-30,29
2021-11-22,6465,long,0.4218,5.0,2021-12-03,10
2021-11-23,3642,long,-0.1704,10.0,2021-12-06,10
2021-11-23,4943,long,-0.458,5.0,2021-12-06,10
2021-11-23,5236,long,0.4471,5.0,2021-12-06,10
2021-11-24,3016,long,0.4586,5.0,2021-12-09,12
2021-11-24,3444,long,0.514,5.0,2021-12-07,10
2021-11-24,8450,long,0.5098,5.0,2021-12-07,10
2021-11-25,3046,long,0.3797,5.0,2021-12-08,10
2021-11-25,5321,long,-0.1888,20.0,2021-12-08,10
2021-11-29,3672,long,0.5933,5.0,2021-12-10,10
